TruckID,Registration,ReeferModel,Operator
TRK-01,TS09UB1147,ThermoLine 400,Aurora Fleet
TRK-02,TS09UB1182,ThermoLine 400,Aurora Fleet
TRK-03,TS09UB1226,ThermoLine 400,Aurora Fleet
TRK-04,AP16TC4409,ThermoLine 250,Deccan Coldways
TRK-05,AP16TC4451,ThermoLine 250,Deccan Coldways
TRK-06,AP31CX7708,CryoHaul 300,Deccan Coldways
TRK-07,KA05MN3312,CryoHaul 300,Southern Cold Logistics
TRK-08,KA05MN3376,CryoHaul 300,Southern Cold Logistics
TRK-09,TN22QD5590,ThermoLine 250,Southern Cold Logistics
TRK-10,TN22QD5634,ThermoLine 250,Southern Cold Logistics
TRK-11,TS09UB1290,CryoFreeze 90,Aurora Fleet
TRK-12,AP16TC4488,CryoFreeze 90,Deccan Coldways
